"region","year","cases","population","rate_100k","건강생활실천율_조율","상수도보급률","독거노인비율","기초생활수급자수율","재정자립도","재정자주도","성비","고령인구비율","도시지역인구비율","순이동인구","관내진료비_입원","의원_가정의학과","우울감경험률_표준화율","식품안정성확보율_표준화율","폐수배출업소수","가정용_개소수","간이상수도용_개소수","검사합계","개·보수관로_부분보수(개소)_계","공공하수처리구역인구보급률(%)","하수처리구역외_정화조인구","총면적(㎢)","농가수(호)_젖소","농가수(호)_돼지","농가수(호)_가금","1인가구_80~84세","답","임야","대","굴_자연채묘 생산량(kg)","oyster_z","dairy_farm_z","gw_household_z","gw_simple_z","water_supply_z","septic_pop_z","ww_facility_z","pub_sewage_z","test_total_z","sewer_repair_z","paddy_z","forest_z","residential_z","health_practice_z","food_safety_z","elderly_alone_z","alone_80_84_z","welfare_z","fiscal_indep_z","fiscal_auto_z","sex_ratio_z","elderly_rate_z","urban_pop_rate_z","net_migration_z","med_in_z","clinic_family_z","depression_z","idarea","idtime","idarea_time"
"경상남도진주시",2024,4,338785,1.18068981802618,38.6,100,24.702876158783,4.19,27.7,62,97.6,20.7,82.71,-1873,211887964,8,6,98.1,489,259,125,12,106,79.8096774193548,27436,1425.826,30,36,944,3026,85434878.2,413413100.1,26202848.4,0,-0.138486088238282,-0.0149670225577001,-0.99507918040338,0.582957261451353,0.905063196426787,0.9074093359111,1.23120605256646,-0.446690279533185,-0.995079180403383,-0.0974372654703632,0.744546291830573,1.22364693762416,1.3409590599649,0.525764479443653,1.01490923682017,0.605133381482374,1.71397940816527,-0.986069748447918,0.254396996405982,0.396560193564224,-0.509552440696888,-0.438480787336626,0.708692154522277,-0.7455502325292,1.07260763640396,1.49992493690731,-0.998655411839273,194,5,970
"경상남도통영시",2020,3,128293,2.33839726251627,52.9,99,23.41568206,6.13,16.7,59.1,101.11,19.6,59.28226793,-2531,50085804,0,3.9,93.6,100,464,68,99,170,83.3625,16678,479.7,0,1,265,941,15578391.8,154340742.2,9897077.1,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,0.582957261451353,0.905063196426787,0.274175529953687,0.01634344317566,-0.446690279533185,1.00404385770431,-0.0886013185527551,-0.600617399162356,0,-0.44645200023936,2.10278295704409,-0.984426097198368,0.334959245625161,-0.569912120686131,1.01320928280887,-0.622013544602935,0.146382589414887,0.140665762540028,-0.438480787336626,-1.40978439317836,-0.7455502325292,0.381388983268983,-1.29519980624308,-0.998655411839273,195,1,971
"경상남도통영시",2021,5,125383,3.98778143767496,35.8,98.6,23.41568206,6.13,17,55.5,100.8,21.1,58.88,-2069,47338811,0,4.5,93.6,100,468,73,99,88,82.98125,20858,479.67,0,1,257,1039,15497087.2,154586643.4,10006489.7,0,-0.138486088238282,-0.41506844072688,-0.99507918040338,0.582957261451353,-0.299167667553959,0.520217295049615,0.01634344317566,-0.446690279533185,1.00404385770431,-0.0999223755409404,-0.602183008906947,0,-0.44645200023936,0.216977644668741,-0.984426097198368,0.334959245625161,-0.462563741872012,1.01320928280887,-0.598111438939055,-0.164182712287738,0.0832390836216674,-0.438480787336626,-1.40978439317836,-0.7455502325292,0.35435638531074,-1.29519980624308,-0.998655411839273,195,2,972
"경상남도통영시",2022,3,122681,2.44536643816076,31,98.9,25.2316412921042,6.13,15.4,57.8,100.8,22.4,58.5,-1642,50561743,0,10,93.6,100,445,58,99,130,82.8,19922,479.732,0,1,235,1149,15401909.6,154541327.5,10073727.7,1560000,7.2144657396515,-0.41506844072688,-0.99507918040338,0.582957261451353,0.905063196426787,0.46512277540134,0.01634344317566,-0.446690279533185,1.00404385770431,-0.0941237853762601,-0.604015758567197,0,-0.44645200023936,-0.312371214945392,-0.984426097198368,0.71221736042898,-0.342070663611267,1.01320928280887,-0.725589335813079,0.0342340082444944,0.0832390836216674,0.452058516634848,-1.40978439317836,-0.7455502325292,0.385921455343232,-1.29519980624308,1.00044832999338,195,3,973
"경상남도통영시",2023,1,120551,0.829524433642193,31.8,98.9,26.1709520500347,6.13,15.3,54.9,100.8,23.9,58.24,-1381,50718259,0,11.8,93.6,100,445,58,99,1702,82.725,19110,479.83,0,1,234,1244,15322667.6,154458062.3,10138731.8,1575000,7.2144657396515,-0.41506844072688,-0.99507918040338,0.582957261451353,0.905063196426787,0.417327102373136,0.01634344317566,-0.446690279533185,1.00404385770431,0.122909160787488,-0.605541650673927,0,-0.44645200023936,-0.224146405009703,-0.984426097198368,0.897227071798723,-0.238008459658805,1.01320928280887,-0.733556704367706,-0.215943595904842,0.0832390836216674,0.452058516634848,-1.40978439317836,-0.7455502325292,0.387402674040821,-1.29519980624308,1.00044832999338,195,4,974
"경상남도통영시",2024,3,118481,2.53205155256961,41.4,99.6,26.1709520500347,6.13,15.4,53.8,100.9,25.5,57.72,-1381,50718259,0,10.3,85.7,100,445,58,99,626,84.575,17958,479.826,0,1,234,1290,15295911.8,154425600.5,10204711.2,1575000,7.2144657396515,-0.41506844072688,-0.99507918040338,0.582957261451353,0.905063196426787,0.349518462806029,0.01634344317566,-0.446690279533185,1.00404385770431,-0.0256451967647978,-0.606056863112145,0,-0.44645200023936,0.834551314218563,-0.984426097198368,0.897227071798723,-0.187620445113402,1.01320928280887,-0.725589335813079,-0.310838549202867,0.101763818756624,0.452058516634848,-1.40978439317836,-0.7455502325292,0.387402674040821,-1.29519980624308,1.00044832999338,195,5,975
"경상남도사천시",2020,3,111105,2.70014850816795,29.9,96.9,23.43521379,5.09,23,62.3,101.66,22.1,57.20894649,-366,35070479,1,7.8,97.6,236,269,116,466,0,94.8866666666667,3000,802.84,48,27,470,1160,58542385.7,228412435.2,13380766.3,158000,7.2144657396515,0.225093828343807,-0.99507918040338,0.582957261451353,-0.299167667553959,-0.530934341573128,1.23120605256646,0.446690279533185,1.00404385770431,-0.112071802552651,0.226701688765915,0,0.447253529862769,-0.433680328606965,1.01490923682017,0.339164293904138,-0.330021355785192,1.01320928280887,-0.120069325661464,0.422440635372776,0.242551805782279,0.452058516634848,-1.40978439317836,-0.7455502325292,0.210598149727068,-0.363491558526281,1.00044832999338,196,1,976
"경상남도사천시",2021,0,109953,0,28.5,97.4,23.43521379,5.09,21.4,60.7,101.7,23.1,56.78,-296,36324835,1,4.7,97.6,236,276,115,466,0,95,2884,802.84,51,27,202,1217,58328803.4,228301267.2,13576871.9,158000,7.2144657396515,0.265103970160725,-0.99507918040338,0.582957261451353,-0.299167667553959,-0.537762294862872,1.23120605256646,0.446690279533185,1.00404385770431,-0.112071802552651,0.222588926017533,0,0.447253529862769,-0.58807374599442,1.01490923682017,0.339164293904138,-0.267584033413715,1.01320928280887,-0.247547222535488,0.284411612393832,0.249961699836262,0.452058516634848,-1.40978439317836,-0.7455502325292,0.22743960406167,-0.363491558526281,-0.998655411839273,196,2,977
"경상남도사천시",2022,1,109369,0.914335872139272,21.7,97.8,25.2772292267963,5.09,20.5,62,102,24.1,56.52,329,42650059,1,5.9,97.6,236,270,111,466,0,95.1066666666666,1964,797.57,32,21,445,1295,58174979,228121318.3,13764310.7,260000,7.2144657396515,0.0117064053202451,-0.99507918040338,0.582957261451353,-0.299167667553959,-0.591915027850492,1.23120605256646,0.446690279533185,1.00404385770431,-0.112071802552651,0.219626867541189,0,0.447253529862769,-1.33798463044778,1.01490923682017,0.721348398079196,-0.182143487010641,1.01320928280887,-0.319253539527127,0.396560193564224,0.305535905241126,0.452058516634848,-1.40978439317836,0.912516589304964,0.30437069046831,-0.363491558526281,-0.998655411839273,196,3,978
"경상남도사천시",2023,5,109030,4.58589379069981,22,98.1,26.646750756067,5.09,20.2,62.1,102.3,24.9,55.82,498,45500354,1,4.9,97.6,236,270,111,466,4064,95.0066666666667,2064,797.648,29,17,413,1343,58014437.7,227996180.9,13962643.1,231000,7.2144657396515,-0.0283037364966728,-0.99507918040338,0.582957261451353,-0.299167667553959,-0.586028861221403,1.23120605256646,0.446690279533185,1.00404385770431,0.44901082671546,0.216535467747214,0,0.447253529862769,-1.30490032672189,1.01490923682017,0.988515580941287,-0.129564689224134,1.01320928280887,-0.343155645191006,0.405187007500408,0.36111011064599,0.452058516634848,-1.40978439317836,1.03074765720482,0.335373473552279,-0.363491558526281,-0.998655411839273,196,4,979
