"region","year","cpo","pit","numerical_failure"
"경기도양주시",2022,0.0255459954077009,0.0831191724499956,0
"경기도양주시",2023,0.069729963321231,0.72927835670284,0
"경기도양주시",2024,0.0354102071921729,0.906254513633877,0
"경기도포천시",2020,0.0274252312594605,0.105458988460586,0
"경기도포천시",2021,0.0157914959855831,0.859086986955627,0
"경기도포천시",2022,0.0255871912429859,0.0489876318466655,0
"경기도포천시",2023,0.144503564125604,0.333229481792295,0
"경기도포천시",2024,0.00344717638207697,0.996914773447747,0
"경기도여주시",2020,0.0653201772178777,0.652503381678715,0
"경기도여주시",2021,0.0104416136284884,0.949214272082782,0
"경기도여주시",2022,0.0948709783911608,0.226452290719209,0
"경기도여주시",2023,0.188085710710017,0.539163395357831,0
"경기도여주시",2024,0.166550518980284,0.238574449222374,0
"경기도가평군",2020,0.0321981786772036,0.0406257129143853,0
"경기도가평군",2021,0.0479959047299487,0.854874618451058,0
"경기도가평군",2022,0.0905182119094034,0.89566153758829,0
"경기도가평군",2023,0.208301670822471,0.208301670822471,0
"경기도가평군",2024,0.330299540049562,0.602849494862642,0
"경기도양평군",2020,0.0556266565068513,0.167669465110842,0
"경기도양평군",2021,0.00107376634010577,0.997494122807972,0
"경기도양평군",2022,0.11158178095865,0.65715695669411,0
"경기도양평군",2023,0.117986345561816,0.161754418783356,0
"경기도양평군",2024,0.221468262896533,0.488829891277907,0
"강원도춘천시",2020,0.0308772537918155,0.779943573031622,0
"강원도춘천시",2021,0.0289279983869354,0.570967480052051,0
"강원도춘천시",2022,0.0760405553440666,0.329514275084904,0
"강원도춘천시",2023,0.036016950932439,0.0456374576497102,0
"강원도춘천시",2024,0.155018086370258,0.501103328106603,0
"강원도원주시",2020,0.0412911627048013,0.53805913894807,0
"강원도원주시",2021,0.0286872618820768,0.349836293579567,0
"강원도원주시",2022,0.0688805447570373,0.310905343007336,0
"강원도원주시",2023,0.0222587693329328,0.961320592117732,0
"강원도원주시",2024,0.140722157091305,0.405336230599584,0
"강원도강릉시",2020,0.0563539934993855,0.191641751995425,0
"강원도강릉시",2021,0.0262635704598807,0.108214262087991,0
"강원도강릉시",2022,0.0956912663215461,0.2312771450239,0
"강원도강릉시",2023,0.0985137980975481,0.875485870465359,0
"강원도강릉시",2024,0.136738779992951,0.822511746418717,0
"강원도동해시",2020,0.153386226604476,0.522502804093008,0
"강원도동해시",2021,0.110351969895641,0.433781282910802,0
"강원도동해시",2022,0.181257526954395,0.757816128956715,0
"강원도동해시",2023,0.249089833541275,0.249089833541275,0
"강원도동해시",2024,0.309731178316795,0.309731178316795,0
"강원도태백시",2020,0.140946283860554,0.140946283860554,0
"강원도태백시",2021,0.0506376591654259,0.0506376591654258,0
"강원도태백시",2022,0.34521748445029,0.707785433789463,0
"강원도태백시",2023,0.314278569514187,0.870491927610621,0
