"model","run","DIC","WAIC","pD","n_credible","credible_set","gw_household","dairy_farm","forest","fiscal_indep"
"M4",7,5760.98738169505,5642.53629213241,703.36462653768,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11343225293019,1.02636163329961,0.816141733494082,0.80830285549088
"M4",8,5736.62409773567,5640.86215241863,687.678922661581,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11274320586758,1.02668019894535,0.816209920532575,0.808514130333427
"M4",9,5698.83008470955,5619.07524398262,676.457201820928,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11383222133503,1.02644360534328,0.815849561131936,0.808210832475003
"M4",10,5679.27077724113,5599.39522222952,679.449059434772,10,"alone_80_84;depression;elderly_alone;elderly_rate;fiscal_indep;forest;gw_household;health_practice;septic_pop;sewer_repair",1.11410898522015,1.02636078410774,0.815731273324822,0.808139189831455
"M5",1,5659.32148439703,5666.46200325994,102.865566816844,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07773414537106,1.04247805368396,0.83630227876634,0.861846832163932
"M5",2,5659.35011485792,5666.47683775425,102.926629283302,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.0776875026187,1.04246862145937,0.836348597251236,0.861844064541296
"M5",3,5659.74115452904,5666.52483607778,103.521287173599,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07762069495764,1.04244624889623,0.836429528514204,0.861834064857539
"M5",4,5659.69892528651,5666.49695850083,103.272544346382,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07780336671596,1.04248443570141,0.836247005006214,0.861833906411326
"M5",5,5659.33803000584,5666.48553473239,102.995661597934,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07768910718542,1.04246752935431,0.836345823606315,0.861842353116275
"M5",6,5659.33631217314,5666.45955664479,102.865237762616,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07771625759162,1.04247751152914,0.836313018168342,0.86184469726225
"M5",7,5659.41799971967,5666.42508755381,102.849200844574,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07764775907806,1.04247313274789,0.836366719447947,0.861856428901103
"M5",8,5659.32411285573,5666.44327184777,102.823246846417,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07772350032976,1.04248106040742,0.83630199776835,0.861847139485475
"M5",9,5659.7010539218,5666.46482080375,103.182064286923,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07778916477665,1.04248950665915,0.836245534422264,0.861834152374922
"M5",10,5659.3693848221,5666.47086507101,102.933276476117,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07769605419484,1.04247339392953,0.836332071269322,0.861844733673895
"M6",1,5646.84389132061,5658.99669923754,142.852382922567,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07764884108359,1.0423479415312,0.836635839643379,0.861724093810816
"M6",2,5648.13504330633,5659.48396373344,142.475123006594,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07765619258309,1.04234806138806,0.836621219702102,0.861731607746313
"M6",3,5648.15608573434,5659.41942651923,142.849007926753,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07772171488689,1.04235801144522,0.836561579234375,0.861733667052721
"M6",4,5655.39032400431,5661.72072865488,133.151124795272,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07821634279968,1.04250916220473,0.835968715983514,0.8617470773079
"M6",5,5647.80663526354,5659.12765961832,143.915225848167,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07769385685591,1.04235346379498,0.836591647580415,0.861729802199461
"M6",6,5648.56537560116,5659.58259357187,142.289456158725,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07756990759332,1.04231785136152,0.836738232072445,0.861723880454269
"M6",7,5648.93274259932,5660.48147177574,137.59239468378,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.0775462571718,1.04234572014806,0.836682884451029,0.861765811268751
