"region","mean","lo","hi"
"서울시중랑구",0.352777978729662,0.0848229720086402,0.621547589912188
"경기도연천군",0.347658671522781,0.0321601016212788,0.660845857187731
"충청남도천안시",0.341058596113971,0.081251987986236,0.604424854560871
"인천시부평구",0.339365384193135,0.0668827874656968,0.60949682681266
"경기도포천시",0.335537796201057,0.0823513496386402,0.58923339983617
"충청남도논산시",0.330986615990843,0.0705060123861284,0.594934392199098
"대전시대덕구",0.330846011970126,0.0467847735031412,0.621599748812801
"서울시영등포구",0.330371518650431,0.0632977431901996,0.594583562696492
"경기도하남시",0.321534486458409,0.0555305214567205,0.590528189390696
"세종시세종시",0.320384253773331,0.0375685170487657,0.606004676660821
"서울시구로구",0.318746190343543,0.0595290860755737,0.576468509567291
"경기도용인시",0.318279225448218,0.0643044181762676,0.573745463218799
"경기도광명시",0.317864141483365,0.0351969710987123,0.598540414587153
"서울시금천구",0.314930213985604,0.0189383477595238,0.610172221859801
"충청남도서산시",0.31252953261545,-0.0101661504234009,0.636586993727292
"충청북도증평군",0.311467746938563,-0.0230815158332456,0.65147186095807
"경기도의왕시",0.309840606736844,0.0348565544325441,0.582879846438744
"경기도과천시",0.304808881929742,-0.0220079828234242,0.632718816178903
"충청남도태안군",0.298174047090042,-0.137263732686071,0.735080675027771
"대전시서구",0.296399623020729,0.0367759564937501,0.559247167845532
"충청남도계룡시",0.291890810282969,-0.0446689094830305,0.628018667000923
"강원도철원군",0.290863154703624,-0.0859358254340655,0.666851298258337
"대전시동구",0.28743775368801,0.0196099502310564,0.561005414692709
"경기도이천시",0.275344171722713,-0.000539299023844941,0.553713535441302
"충청북도괴산군",0.274134618042374,0.000265460298555961,0.558099522220405
"서울시동작구",0.27050422672226,-0.0137474120406998,0.552759784592964
"대전시중구",0.269298678679304,-0.0262995575369546,0.56966640732599
"전라북도정읍시",0.268388975264396,-0.0137345289263773,0.560860419312157
"경기도광주시",0.260838387972467,0.017347989037179,0.505270386967116
"충청북도음성군",0.25903969546053,-0.0043699551584352,0.525548696837048
"충청남도당진시",0.252941629857703,-0.108920713554719,0.613358929223582
"경기도성남시",0.252890336645309,-0.0500892337497257,0.55394205856233
"충청남도금산군",0.251061531545244,-0.00240632823359047,0.511648064289666
"서울시광진구",0.237731988967358,-0.0330791527168456,0.505200812926502
"충청북도보은군",0.236916931434764,-0.0750908515820822,0.555598458283173
"충청북도영동군",0.228933248813574,-0.0814460636032678,0.553449427596633
"대전시유성구",0.212901676147651,-0.049132205554682,0.471941722061975
"충청북도옥천군",0.209058107297474,-0.0986699800506568,0.523011874787544
"경기도여주시",0.208934956561316,-0.0560999334645352,0.477345284609335
"서울시송파구",0.200004716727583,-0.0847872134426381,0.482768803587562
"서울시관악구",0.174145884595208,-0.0941438178786403,0.436473893959026
"경기도가평군",0.172958292456738,-0.118555420187308,0.4625142089826
"서울시강남구",0.171628127874031,-0.133378609100832,0.470076085722988
"강원도속초시",0.165995427869966,-0.223366640375936,0.558442879058313
"강원도화천군",0.1621582344936,-0.186128765935213,0.505847331872976
"서울시강동구",0.16109752973861,-0.11071449028288,0.428525218306647
"경기도양평군",0.148849444531438,-0.110907650616986,0.407768312122549
"서울시서초구",0.123102125086304,-0.18556983785335,0.422289205125379
"전라북도진안군",0.111130904384362,-0.221984562050602,0.448980754887945
"충청북도충주시",0.106285788194966,-0.162309016412876,0.374107607470044
"강원도춘천시",0.104759288112007,-0.183573794940496,0.391738799239534
"강원도홍천군",0.102016453615066,-0.167233174303353,0.372684422769717
"강원도인제군",0.0998514584965596,-0.245107536966349,0.444703537335828
"전라북도임실군",0.0992690842979064,-0.212347654388756,0.418537460309785
"전라북도고창군",0.0781624332619877,-0.274318425284441,0.434105698957246
"강원도양양군",0.0753036181873807,-0.320677363005205,0.473528706762624
"강원도양구군",0.0736091001551712,-0.347760592639715,0.489041026628062
"강원도원주시",0.0654532873009813,-0.198678771274883,0.328116812044773
"충청북도제천시",0.0535387441133471,-0.243858932515971,0.351443038601798
"강원도평창군",0.0437116997659012,-0.280615046554712,0.37068311614687
"전라북도순창군",0.0424962326049619,-0.267067167696537,0.362471998580721
"강원도횡성군",0.00744203039402221,-0.313918684610153,0.324572924980983
"제주도제주시",0.00000000000000000307912235877078,-0.506918411288521,0.506918411288522
"제주도서귀포시",0.0000000000000000000619957521900777,-0.506918411288886,0.506918411288885
"강원도고성군",-0.00687177859474857,-0.520946322377685,0.500747747219466
"전라남도장성군",-0.00824850246629897,-0.281984400524041,0.270807569508969
"경상북도문경시",-0.0147636879089796,-0.315731182813216,0.282131260374481
"전라북도무주군",-0.0284338081630893,-0.34707147078069,0.290747587670295
"광주시북구",-0.0360989572249891,-0.293395507910556,0.22661798619965
"충청북도단양군",-0.0417698044870072,-0.383792863791833,0.297945346443589
"경상북도예천군",-0.0594501218767294,-0.363709306679138,0.246015505298959
"경상북도상주시",-0.064130082788171,-0.323348664726143,0.190711274214424
"강원도영월군",-0.065409104357834,-0.346286515551888,0.21130659669345
"경상북도울진군",-0.0704438818031931,-0.441568027606404,0.304020028991412
"전라남도영광군",-0.0737592096352919,-0.453962066924255,0.307885734337602
"경상북도영주시",-0.0888753786194875,-0.410152723528259,0.230441716315272
"광주시광산구",-0.106553855276304,-0.366025526338854,0.156235509198177
"전라북도장수군",-0.11304116714681,-0.442008424156469,0.21570922200241
"강원도정선군",-0.125730912619608,-0.464204800874343,0.207077811479135
"전라남도담양군",-0.142913609411576,-0.460256635828328,0.17453353846419
"강원도강릉시",-0.144227546121995,-0.453180161978878,0.158703378536748
