"graph","covariate","IRR","lo","hi","DIC","n_high","n_low"
"Queen","sex_ratio_z",1.06167009159128,0.991565347641624,1.13718231251215,5647.9303175937,74,57
"Queen","elderly_rate_z",1.04682478644521,0.9582664237202,1.14356234772359,5647.9303175937,74,57
"Queen","urban_pop_rate_z",0.96173454984105,0.894404852314791,1.03408010574668,5647.9303175937,74,57
"Queen","net_migration_z",1.01080058425107,0.97456615662707,1.04838141951139,5647.9303175937,74,57
"Queen","med_in_z",1.06320152279574,0.975324494916584,1.15976879634376,5647.9303175937,74,57
"Queen","clinic_family_z",0.996881810064858,0.942609974842933,1.05401007319096,5647.9303175937,74,57
"Queen","depression_z",1.02152847789317,0.985108572020781,1.05931380812231,5647.9303175937,74,57
"Rook","(Intercept)",0.0000392278724188902,0.0000376714991301443,0.0000408516360599297,5646.92130884577,76,57
"Rook","oyster_z",1.00776852738207,0.956564033844638,1.06248947558079,5646.92130884577,76,57
"Rook","dairy_farm_z",1.04214415157371,1.00258748572636,1.08314137569715,5646.92130884577,76,57
"Rook","gw_household_z",1.07676765713056,1.00009450087328,1.15794549636922,5646.92130884577,76,57
"Rook","gw_simple_z",1.04775580321176,0.985113226540453,1.11435381516193,5646.92130884577,76,57
"Rook","water_supply_z",1.01864084702969,0.93804070861071,1.10609195022384,5646.92130884577,76,57
"Rook","septic_pop_z",1.00852204732923,0.962308814856634,1.05715050182534,5646.92130884577,76,57
"Rook","ww_facility_z",0.978263858903174,0.920601248910095,1.03955947344307,5646.92130884577,76,57
"Rook","pub_sewage_z",1.01638303558155,0.920534743152749,1.1227401372608,5646.92130884577,76,57
"Rook","test_total_z",0.985335450798412,0.9343979959729,1.03892833440082,5646.92130884577,76,57
"Rook","sewer_repair_z",0.906077297256396,0.824455459323218,0.995805072608685,5646.92130884577,76,57
"Rook","paddy_z",0.957584619168057,0.881314353862025,1.04004591766615,5646.92130884577,76,57
"Rook","forest_z",0.835920507267027,0.756735014614786,0.924838600966463,5646.92130884577,76,57
"Rook","residential_z",1.06635787981123,0.985519968692804,1.15385197623356,5646.92130884577,76,57
"Rook","health_practice_z",0.977840945661334,0.924980417873868,1.03381154453201,5646.92130884577,76,57
"Rook","food_safety_z",1.03091390479514,0.989620459174879,1.07393742208603,5646.92130884577,76,57
"Rook","elderly_alone_z",0.960740092237918,0.907048778879813,1.01744252881673,5646.92130884577,76,57
"Rook","alone_80_84_z",0.961436426301547,0.90757673886503,1.0179257276129,5646.92130884577,76,57
"Rook","welfare_z",1.00315124612869,0.948431561453473,1.06070253095931,5646.92130884577,76,57
"Rook","fiscal_indep_z",0.861618701282343,0.789454909110884,0.940267698363262,5646.92130884577,76,57
"Rook","fiscal_auto_z",1.07424605421989,0.985476466307717,1.17115606608976,5646.92130884577,76,57
"Rook","sex_ratio_z",1.063191463498,0.992793304831052,1.13903896089099,5646.92130884577,76,57
"Rook","elderly_rate_z",1.04679836457457,0.958242412561207,1.14352894121349,5646.92130884577,76,57
"Rook","urban_pop_rate_z",0.962265024965396,0.894976280531693,1.03457893297101,5646.92130884577,76,57
"Rook","net_migration_z",1.01098643052379,0.97473023141236,1.04858793014712,5646.92130884577,76,57
"Rook","med_in_z",1.06474476914948,0.976596223812737,1.1616285077019,5646.92130884577,76,57
"Rook","clinic_family_z",0.996832826887461,0.942608383020141,1.05390347379621,5646.92130884577,76,57
"Rook","depression_z",1.02157008168809,0.985145296938101,1.05935870185581,5646.92130884577,76,57
"knn2","(Intercept)",0.000039107739266912,0.0000375445354976983,0.0000407378297319701,5645.135119272,78,67
"knn2","oyster_z",1.01084425325916,0.960434111446282,1.0645518436363,5645.135119272,78,67
"knn2","dairy_farm_z",1.03887839298356,0.999456845402152,1.07977248191527,5645.135119272,78,67
"knn2","gw_household_z",1.08656644853394,1.01265392890062,1.16497482442472,5645.135119272,78,67
